"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000010,East Lothian,"50,719",,"2,926","3,258","3,278","2,723","2,922","2,647","2,657","2,867","3,085","3,722","3,960","3,911","3,345","2,788","2,724","1,755","1,240",632,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000011,East Renfrewshire,"45,473",,"2,705","3,294","3,294","2,932","2,791","2,333","1,976","2,423","2,804","3,243","3,394","3,304","2,891","2,422","2,147","1,465","1,150",619,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000014,Falkirk,"78,497",,"4,271","4,775","4,623","4,435","4,683","4,654","4,651","4,983","5,101","6,068","6,261","5,700","4,693","4,304","3,877","2,498","1,730",843,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000047,Fife,"180,620",,"9,750","10,993","10,418","10,481","11,929","10,837","10,076","10,612","10,449","12,565","13,654","13,034","11,613","10,462","9,945","6,448","4,246","2,167",941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000046,Glasgow City,"306,050",,"17,221","16,696","14,470","15,880","26,126","34,317","29,897","24,538","18,354","18,983","19,635","18,584","15,232","12,114","9,766","6,485","4,417","2,333","1,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000017,Highland,"115,391",,"5,752","6,492","6,648","6,493","6,313","6,095","6,676","6,694","6,373","7,672","9,117","8,896","8,221","7,602","6,791","4,385","2,924","1,603",644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000018,Inverclyde,"37,401",,"1,882","2,126","2,172","2,056","2,297","2,351","2,209","2,147","1,936","2,406","3,058","3,193","2,516","2,257","1,955","1,307",893,456,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000019,Midlothian,"43,893",,"2,934","2,853","2,590","2,456","2,471","2,620","2,752","2,880","2,705","2,989","3,204","3,066","2,699","2,484","2,228","1,385",917,475,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000020,Moray,"47,297",,"2,358","2,683","2,697","2,826","2,872","2,712","2,782","2,789","2,705","3,427","3,630","3,433","3,101","2,813","2,528","1,778","1,224",643,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000013,Na h-Eileanan Siar,"13,247",,635,720,767,636,623,578,646,665,757,989,"1,059","1,074",985,979,863,593,387,192,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000021,North Ayrshire,"64,399",,"3,326","3,719","3,862","3,720","4,167","3,697","3,214","3,217","3,284","4,314","4,954","4,987","4,464","4,203","3,908","2,602","1,586",855,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000044,North Lanarkshire,"164,820",,"9,423","10,309","10,591","9,944","10,636","10,389","10,272","11,030","10,268","11,972","12,991","11,682","9,772","8,516","7,171","4,829","3,006","1,486",533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000023,Orkney Islands,"11,039",,492,623,592,540,600,617,593,568,572,734,901,922,796,768,674,491,327,159,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000048,Perth and Kinross,"74,367",,"3,585","4,082","4,025","4,230","4,209","4,289","4,175","4,391","3,970","4,854","5,835","5,536","5,044","4,820","4,372","3,021","2,110","1,274",545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000038,Renfrewshire,"85,869",,"4,607","4,970","4,823","4,762","5,533","5,913","5,735","5,541","4,787","5,821","6,761","6,566","5,433","4,558","4,072","2,739","1,886",937,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000026,Scottish Borders,"55,989",,"2,785","3,208","3,099","2,996","2,851","2,523","2,546","2,734","2,860","3,957","4,594","4,621","4,198","3,953","3,797","2,451","1,647",860,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000027,Shetland Islands,"11,713",,613,751,702,649,666,651,719,708,714,813,905,859,766,701,629,423,270,126,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000028,South Ayrshire,"53,712",,"2,596","2,939","2,864","2,948","3,008","2,763","2,620","2,713","2,718","3,552","4,187","4,184","3,933","3,805","3,522","2,410","1,685",885,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000029,South Lanarkshire,"154,202",,"8,689","9,165","8,787","8,588","9,152","9,066","8,889","9,719","9,304","11,452","12,040","11,894","10,268","8,722","7,628","5,010","3,430","1,734",665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000030,Stirling,"45,445",,"2,215","2,487","2,732","2,874","3,834","3,152","2,455","2,476","2,507","3,100","3,496","3,229","2,745","2,511","2,238","1,587","1,052",560,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000039,West Dunbartonshire,"42,496",,"2,356","2,712","2,519","2,296","2,713","2,804","2,804","2,517","2,241","2,866","3,345","3,279","2,923","2,357","2,070","1,262",848,413,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000040,West Lothian,"89,338",,"5,394","5,983","5,884","5,171","5,391","5,415","5,820","5,867","5,817","6,758","6,949","6,372","4,996","4,327","3,889","2,595","1,632",764,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000015,Ayrshire and Arran,"177,216",,"9,235","10,227","10,107","9,800","10,828","10,016","9,256","9,376","9,278","12,119","13,774","13,569","12,269","11,609","10,634","7,089","4,676","2,393",961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000016,Borders,"55,989",,"2,785","3,208","3,099","2,996","2,851","2,523","2,546","2,734","2,860","3,957","4,594","4,621","4,198","3,953","3,797","2,451","1,647",860,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000017,Dumfries and Galloway,"72,321",,"3,317","3,826","3,998","3,830","3,946","3,658","3,644","3,411","3,438","4,719","5,714","5,779","5,344","5,382","4,845","3,403","2,365","1,220",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000029,Fife,"180,620",,"9,750","10,993","10,418","10,481","11,929","10,837","10,076","10,612","10,449","12,565","13,654","13,034","11,613","10,462","9,945","6,448","4,246","2,167",941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000019,Forth Valley,"149,167",,"7,877","8,728","8,830","8,769","10,070","9,177","8,528","8,903","9,092","11,068","11,802","10,859","8,992","8,395","7,477","4,918","3,366","1,659",657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000020,Grampian,"290,728",,"15,844","16,860","15,637","15,173","18,555","21,868","21,064","20,296","18,383","20,248","20,813","19,778","17,860","15,582","13,327","8,793","6,106","3,163","1,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000021,Greater Glasgow and Clyde,"569,757",,"31,676","33,039","30,492","31,022","42,667","50,750","45,128","39,895","32,938","36,868","40,176","38,940","32,493","26,827","22,852","15,198","10,788","5,612","2,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000022,Highland,"158,307",,"7,624","8,632","8,891","8,808","9,239","8,454","8,636","8,814","8,667","10,372","12,463","12,334","11,406","10,709","9,620","6,323","4,175","2,270",870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000023,Lanarkshire,"319,022",,"18,112","19,474","19,378","18,532","19,788","19,455","19,161","20,749","19,572","23,424","25,031","23,576","20,040","17,238","14,799","9,839","6,436","3,220","1,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000024,Lothian,"436,939",,"24,248","25,475","23,500","22,680","31,603","37,380","35,078","32,018","28,321","29,720","30,270","28,249","23,658","20,440","17,925","11,642","8,327","4,434","1,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000025,Orkney,"11,039",,492,623,592,540,600,617,593,568,572,734,901,922,796,768,674,491,327,159,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000026,Shetland,"11,713",,613,751,702,649,666,651,719,708,714,813,905,859,766,701,629,423,270,126,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000030,Tayside,"202,686",,"10,371","11,290","10,855","11,489","13,922","14,568","12,866","12,000","10,534","12,965","14,713","14,458","12,823","11,969","10,968","7,430","5,208","3,017","1,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000028,Western Isles,"13,247",,635,720,767,636,623,578,646,665,757,989,"1,059","1,074",985,979,863,593,387,192,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,"2,789,349",,"134,283","147,243","140,524","139,159","173,337","191,808","183,317","177,248","161,947","193,726","208,818","198,608","173,063","155,399","142,610","106,061","81,934","50,957","29,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,"114,308",,"5,708","5,631","4,853","5,396","9,939","11,119","9,614","8,308","6,584","7,046","7,209","7,061","6,087","5,281","4,658","3,679","3,026","2,018","1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000034,Aberdeenshire,"131,291",,"7,121","7,925","7,403","6,482","5,692","6,416","7,847","8,705","8,568","10,136","10,343","9,526","8,616","7,746","6,850","4,872","3,509","2,195","1,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000041,Angus,"59,503",,"2,621","3,135","3,064","2,891","2,877","2,863","3,279","3,374","3,358","4,136","4,441","4,570","4,000","3,971","3,855","2,709","2,123","1,330",906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000035,Argyll and Bute,"43,344",,"1,738","2,116","2,094","2,050","1,906","1,814","1,864","2,131","2,266","3,044","3,549","3,563","3,267","3,244","3,144","2,242","1,711","1,019",582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000036,City of Edinburgh,"265,511",,"12,315","12,953","11,029","12,166","23,841","28,751","24,092","19,921","16,165","15,980","16,092","15,271","13,001","11,657","10,487","7,785","6,570","4,575","2,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000005,Clackmannanshire,"26,175",,"1,295","1,434","1,400","1,348","1,347","1,444","1,483","1,517","1,555","2,002","2,122","1,986","1,745","1,603","1,520","1,055",689,412,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000006,Dumfries and Galloway,"76,469",,"3,171","3,740","3,861","3,415","3,664","3,712","3,862","3,856","3,802","5,179","6,161","6,174","5,690","5,448","5,166","3,931","2,861","1,801",975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000042,Dundee City,"76,968",,"3,655","3,860","3,520","4,386","7,079","7,069","5,639","4,748","3,818","4,310","4,902","5,102","4,189","3,729","3,574","2,661","2,383","1,506",838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000008,East Ayrshire,"62,735",,"3,036","3,397","3,197","3,198","3,301","3,667","3,815","3,676","3,566","4,610","5,173","4,660","4,087","3,792","3,574","2,476","1,840","1,043",627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000045,East Dunbartonshire,"55,862",,"2,714","3,032","2,959","2,797","2,639","2,584","2,617","3,112","3,217","4,098","4,421","4,413","3,869","3,461","3,233","2,596","2,079","1,267",754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000010,East Lothian,"55,071",,"2,725","3,150","2,995","2,695","2,770","3,168","2,981","3,369","3,329","4,058","4,399","4,153","3,527","3,181","3,040","2,205","1,698","1,077",551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000011,East Renfrewshire,"49,697",,"2,480","3,208","3,182","2,739","2,405","2,271","2,354","2,915","3,178","3,631","3,868","3,518","3,140","2,733","2,608","1,998","1,665","1,124",680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000014,Falkirk,"81,843",,"3,904","4,570","4,403","4,026","4,243","4,761","5,168","5,431","5,301","6,262","6,524","5,809","5,034","4,721","4,147","3,132","2,323","1,336",748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000047,Fife,"191,290",,"9,206","10,379","9,938","9,816","12,004","11,356","11,038","11,487","10,887","13,367","14,474","13,785","12,172","11,501","10,928","7,597","5,749","3,514","2,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000046,Glasgow City,"320,360",,"16,425","16,152","13,658","15,695","27,270","34,596","28,333","23,093","17,970","20,061","21,672","20,573","16,714","12,752","11,171","8,972","7,621","4,849","2,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000017,Highland,"120,149",,"5,424","6,149","6,377","5,896","5,484","6,040","6,825","7,121","6,810","8,612","9,761","9,202","8,401","7,922","7,077","5,300","3,881","2,449","1,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000018,Inverclyde,"40,749",,"1,697","1,955","2,011","2,007","2,205","2,313","2,205","2,317","2,250","2,879","3,420","3,392","2,768","2,503","2,272","1,744","1,374",921,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000019,Midlothian,"47,447",,"2,887","2,827","2,552","2,375","2,377","2,902","3,064","3,265","2,801","3,332","3,450","3,356","2,904","2,689","2,539","1,704","1,306",733,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000020,Moray,"48,223",,"2,164","2,545","2,660","2,406","2,347","2,637","2,846","2,738","2,780","3,539","3,675","3,515","3,230","3,012","2,886","2,057","1,591","1,022",573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000013,Na h-Eileanan Siar,"13,583",,564,628,727,628,557,556,647,759,805,955,"1,053","1,042",950,969,854,731,553,374,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000021,North Ayrshire,"70,881",,"3,116","3,639","3,658","3,541","3,908","3,755","3,801","3,753","3,937","5,107","5,671","5,420","4,975","4,608","4,374","3,217","2,256","1,338",807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000044,North Lanarkshire,"175,360",,"8,906","9,969","9,853","9,602","9,936","10,596","11,299","11,631","10,837","13,021","13,736","12,597","10,914","9,458","8,285","6,279","4,699","2,549","1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000023,Orkney Islands,"11,151",,474,533,610,526,451,598,646,649,604,789,921,828,777,756,691,564,377,228,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000048,Perth and Kinross,"76,923",,"3,312","3,874","3,929","3,813","3,501","3,946","4,359","4,286","4,215","5,466","6,179","5,753","5,233","5,094","4,651","3,617","2,735","1,780","1,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000038,Renfrewshire,"91,921",,"4,415","4,797","4,762","4,563","5,155","5,812","5,780","5,807","5,220","6,743","7,408","6,933","5,855","5,105","4,711","3,451","2,843","1,666",895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000026,Scottish Borders,"59,281",,"2,701","2,997","3,114","2,831","2,702","2,655","2,769","3,058","3,180","4,363","4,814","4,670","4,341","4,125","3,988","2,847","2,094","1,317",715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000027,Shetland Islands,"11,277",,582,654,641,592,538,636,669,673,686,824,853,798,773,686,573,477,322,186,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000028,South Ayrshire,"58,838",,"2,501","2,759","2,886","2,685","2,964","2,768","2,942","3,068","3,116","4,037","4,571","4,674","4,368","4,121","3,986","2,882","2,246","1,396",868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000029,South Lanarkshire,"164,818",,"8,114","8,700","8,629","8,240","8,605","9,283","9,740","10,555","9,896","12,023","13,133","12,674","11,118","9,542","8,514","6,423","4,913","3,050","1,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000030,Stirling,"48,885",,"2,079","2,378","2,576","2,990","4,077","3,348","2,668","2,635","2,742","3,584","3,680","3,419","2,850","2,540","2,570","1,926","1,466",832,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000039,West Dunbartonshire,"46,634",,"2,270","2,513","2,415","2,326","2,529","3,021","2,839","2,910","2,586","3,284","3,823","3,613","3,199","2,630","2,315","1,793","1,299",867,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000040,West Lothian,"92,802",,"4,963","5,644","5,568","5,038","5,024","5,351","6,232","6,380","5,918","7,248","7,320","6,558","5,269","4,819","4,369","3,139","2,132","1,183",647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000015,Ayrshire and Arran,"192,454",,"8,653","9,795","9,741","9,424","10,173","10,190","10,558","10,497","10,619","13,754","15,415","14,754","13,430","12,521","11,934","8,575","6,342","3,777","2,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000016,Borders,"59,281",,"2,701","2,997","3,114","2,831","2,702","2,655","2,769","3,058","3,180","4,363","4,814","4,670","4,341","4,125","3,988","2,847","2,094","1,317",715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000017,Dumfries and Galloway,"76,469",,"3,171","3,740","3,861","3,415","3,664","3,712","3,862","3,856","3,802","5,179","6,161","6,174","5,690","5,448","5,166","3,931","2,861","1,801",975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000029,Fife,"191,290",,"9,206","10,379","9,938","9,816","12,004","11,356","11,038","11,487","10,887","13,367","14,474","13,785","12,172","11,501","10,928","7,597","5,749","3,514","2,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000019,Forth Valley,"156,903",,"7,278","8,382","8,379","8,364","9,667","9,553","9,319","9,583","9,598","11,848","12,326","11,214","9,629","8,864","8,237","6,113","4,478","2,580","1,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000020,Grampian,"293,822",,"14,993","16,101","14,916","14,284","17,978","20,172","20,307","19,751","17,932","20,721","21,227","20,102","17,933","16,039","14,394","10,608","8,126","5,235","3,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000021,Greater Glasgow and Clyde,"605,223",,"30,001","31,657","28,987","30,127","42,203","50,597","44,128","40,154","34,421","40,696","44,612","42,442","35,545","29,184","26,310","20,554","16,881","10,694","6,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000022,Highland,"163,493",,"7,162","8,265","8,471","7,946","7,390","7,854","8,689","9,252","9,076","11,656","13,310","12,765","11,668","11,166","10,221","7,542","5,592","3,468","2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000023,Lanarkshire,"340,178",,"17,020","18,669","18,482","17,842","18,541","19,879","21,039","22,186","20,733","25,044","26,869","25,271","22,032","19,000","16,799","12,702","9,612","5,599","2,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
