"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000014,Falkirk,"160,340",,"8,175","9,345","9,026","8,461","8,926","9,415","9,819","10,414","10,402","12,330","12,785","11,509","9,727","9,025","8,024","5,630","4,053","2,179","1,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000047,Fife,"371,910",,"18,956","21,372","20,356","20,297","23,933","22,193","21,114","22,099","21,336","25,932","28,128","26,819","23,785","21,963","20,873","14,045","9,995","5,681","3,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000046,Glasgow City,"626,410",,"33,646","32,848","28,128","31,575","53,396","68,913","58,230","47,631","36,324","39,044","41,307","39,157","31,946","24,866","20,937","15,457","12,038","7,182","3,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000017,Highland,"235,540",,"11,176","12,641","13,025","12,389","11,797","12,135","13,501","13,815","13,183","16,284","18,878","18,098","16,622","15,524","13,868","9,685","6,805","4,052","2,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000018,Inverclyde,"78,150",,"3,579","4,081","4,183","4,063","4,502","4,664","4,414","4,464","4,186","5,285","6,478","6,585","5,284","4,760","4,227","3,051","2,267","1,377",700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000019,Midlothian,"91,340",,"5,821","5,680","5,142","4,831","4,848","5,522","5,816","6,145","5,506","6,321","6,654","6,422","5,603","5,173","4,767","3,089","2,223","1,208",569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000020,Moray,"95,520",,"4,522","5,228","5,357","5,232","5,219","5,349","5,628","5,527","5,485","6,966","7,305","6,948","6,331","5,825","5,414","3,835","2,815","1,665",869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000013,Na h-Eileanan Siar,"26,830",,"1,199","1,348","1,494","1,264","1,180","1,134","1,293","1,424","1,562","1,944","2,112","2,116","1,935","1,948","1,717","1,324",940,566,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000021,North Ayrshire,"135,280",,"6,442","7,358","7,520","7,261","8,075","7,452","7,015","6,970","7,221","9,421","10,625","10,407","9,439","8,811","8,282","5,819","3,842","2,193","1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000044,North Lanarkshire,"340,180",,"18,329","20,278","20,444","19,546","20,572","20,985","21,571","22,661","21,105","24,993","26,727","24,279","20,686","17,974","15,456","11,108","7,705","4,035","1,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000023,Orkney Islands,"22,190",,966,"1,156","1,202","1,066","1,051","1,215","1,239","1,217","1,176","1,523","1,822","1,750","1,573","1,524","1,365","1,055",704,387,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000048,Perth and Kinross,"151,290",,"6,897","7,956","7,954","8,043","7,710","8,235","8,534","8,677","8,185","10,320","12,014","11,289","10,277","9,914","9,023","6,638","4,845","3,054","1,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000038,Renfrewshire,"177,790",,"9,022","9,767","9,585","9,325","10,688","11,725","11,515","11,348","10,007","12,564","14,169","13,499","11,288","9,663","8,783","6,190","4,729","2,603","1,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000026,Scottish Borders,"115,270",,"5,486","6,205","6,213","5,827","5,553","5,178","5,315","5,792","6,040","8,320","9,408","9,291","8,539","8,078","7,785","5,298","3,741","2,177","1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000027,Shetland Islands,"22,990",,"1,195","1,405","1,343","1,241","1,204","1,287","1,388","1,381","1,400","1,637","1,758","1,657","1,539","1,387","1,202",900,592,312,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000028,South Ayrshire,"112,550",,"5,097","5,698","5,750","5,633","5,972","5,531","5,562","5,781","5,834","7,589","8,758","8,858","8,301","7,926","7,508","5,292","3,931","2,281","1,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000029,South Lanarkshire,"319,020",,"16,803","17,865","17,416","16,828","17,757","18,349","18,629","20,274","19,200","23,475","25,173","24,568","21,386","18,264","16,142","11,433","8,343","4,784","2,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000030,Stirling,"94,330",,"4,294","4,865","5,308","5,864","7,911","6,500","5,123","5,111","5,249","6,684","7,176","6,648","5,595","5,051","4,808","3,513","2,518","1,392",720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000039,West Dunbartonshire,"89,130",,"4,626","5,225","4,934","4,622","5,242","5,825","5,643","5,427","4,827","6,150","7,168","6,892","6,122","4,987","4,385","3,055","2,147","1,280",573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
